ID,Screen,Origin,Epic,Title,Owner,Priority,Dependencies,Acceptance,Status
"DEV-080","DP-080","80","EP-06","Collaborative review and conflicts","Developer frontend + owning backend","P1","FND-12","Resolve Base/Server/Local conflicts using published contracts and real services | Unresolved fields keep Save disabled and preserve versions | Loading, empty, error, forbidden and applicable offline/conflict states meet document08 | Typecheck and affected test/lint/build/security/token/accessibility gates pass with exact revision evidence","Not started"
"DEV-081","DP-081","63","EP-06","Source control and merge review","Developer frontend + owning backend","P1","FND-12","Review source changes and conflicts using published contracts and real services | Unresolved conflicts cannot overwrite either revision | Loading, empty, error, forbidden and applicable offline/conflict states meet document08 | Typecheck and affected test/lint/build/security/token/accessibility gates pass with exact revision evidence","Not started"
"DEV-082","DP-082","99","EP-06","Metadata migration and reconciliation","Developer frontend + owning backend","P1","FND-12","Resume safe metadata migration using published contracts and real services | Contract phase locked until backfill and compatibility proof | Loading, empty, error, forbidden and applicable offline/conflict states meet document08 | Typecheck and affected test/lint/build/security/token/accessibility gates pass with exact revision evidence","Not started"
"DEV-083","DP-083","62","EP-06","Theme and token editor","Developer frontend + owning backend","P1","FND-12","Edit theme with approved semantic tokens using published contracts and real services | Contrast or invalid token references block qualification | Loading, empty, error, forbidden and applicable offline/conflict states meet document08 | Typecheck and affected test/lint/build/security/token/accessibility gates pass with exact revision evidence","Not started"
"DEV-084","DP-084","100","EP-06","Builder registration and conformance","Developer frontend + owning backend","P1","FND-12","Register builder through conformance checks using published contracts and real services | File/route presence cannot imply GA or execution trust | Loading, empty, error, forbidden and applicable offline/conflict states meet document08 | Typecheck and affected test/lint/build/security/token/accessibility gates pass with exact revision evidence","Not started"
"DEV-085","DP-085","13","EP-06","Release review","Developer frontend + owning backend","P1","FND-12","Review an immutable release candidate using published contracts and real services | Stale or self approval cannot authorize promotion | Loading, empty, error, forbidden and applicable offline/conflict states meet document08 | Typecheck and affected test/lint/build/security/token/accessibility gates pass with exact revision evidence","Not started"
"DEV-086","DP-086","52","EP-06","Cross-project release history","Developer frontend + owning backend","P1","FND-12","Inspect release history across permitted projects using published contracts and real services | Cross-project aggregation respects membership | Loading, empty, error, forbidden and applicable offline/conflict states meet document08 | Typecheck and affected test/lint/build/security/token/accessibility gates pass with exact revision evidence","Not started"
"DEV-087","DP-087","53","EP-06","Environments and configuration","Developer frontend + owning backend","P1","FND-12","Manage nonsecret environment configuration using published contracts and real services | Secret values are never copied across environments | Loading, empty, error, forbidden and applicable offline/conflict states meet document08 | Typecheck and affected test/lint/build/security/token/accessibility gates pass with exact revision evidence","Not started"
"DEV-088","DP-088","103","EP-06","Environment provisioning and synthetic data","Developer frontend + owning backend","P1","FND-12","Request isolated test environment with synthetic fixtures using published contracts and real services | Production cloning and secret copying excluded | Loading, empty, error, forbidden and applicable offline/conflict states meet document08 | Typecheck and affected test/lint/build/security/token/accessibility gates pass with exact revision evidence","Not started"
"DEV-089","DP-089","83","EP-06","Release pipeline and approval","Developer frontend + owning backend","P1","FND-12","Approve and promote same immutable bundle using published contracts and real services | Self approval, changed hash or pending gates block promotion | Loading, empty, error, forbidden and applicable offline/conflict states meet document08 | Typecheck and affected test/lint/build/security/token/accessibility gates pass with exact revision evidence","Not started"
"DEV-090","DP-090","84","EP-06","Deployment failure and recovery","Developer frontend + owning backend","P1","FND-12","Recover a failed deployment before activation using published contracts and real services | Serving version stays unchanged after failed health probe | Loading, empty, error, forbidden and applicable offline/conflict states meet document08 | Typecheck and affected test/lint/build/security/token/accessibility gates pass with exact revision evidence","Not started"
"DEV-091","DP-091","64","EP-06","Mobile packaging and export","Developer frontend + owning backend","P1","FND-12","Review mobile packaging/export using published contracts and real services | Unsigned or incompatible package cannot release | Loading, empty, error, forbidden and applicable offline/conflict states meet document08 | Typecheck and affected test/lint/build/security/token/accessibility gates pass with exact revision evidence","Not started"
"DEV-092","DP-092","50","EP-07","Manage workspace","Developer + Security/SRE","P1","FND-12","Inspect scoped management workspace using published contracts and real services | Provider controls cannot appear as tenant authority | Loading, empty, error, forbidden and applicable offline/conflict states meet document08 | Typecheck and affected test/lint/build/security/token/accessibility gates pass with exact revision evidence","Not started"
"DEV-093","DP-093","51","EP-07","Developer governance and capacity","Developer + Security/SRE","P1","FND-12","Inspect governance and capacity using published contracts and real services | Entitlement edits hand off to OCC owner | Loading, empty, error, forbidden and applicable offline/conflict states meet document08 | Typecheck and affected test/lint/build/security/token/accessibility gates pass with exact revision evidence","Not started"
"DEV-094","DP-094","55","EP-07","Developer access control","Developer + Security/SRE","P1","FND-12","Review developer permissions using published contracts and real services | Deny overrides and inherited policy remain enforceable | Loading, empty, error, forbidden and applicable offline/conflict states meet document08 | Typecheck and affected test/lint/build/security/token/accessibility gates pass with exact revision evidence","Not started"
"DEV-095","DP-095","66","EP-07","Application credentials inventory","Developer + Security/SRE","P1","FND-12","Inspect scoped application credentials metadata using published contracts and real services | Raw credential values unavailable in inventory | Loading, empty, error, forbidden and applicable offline/conflict states meet document08 | Typecheck and affected test/lint/build/security/token/accessibility gates pass with exact revision evidence","Not started"
"DEV-096","DP-096","67","EP-07","Create and rotate credentials","Developer + Security/SRE","P1","FND-12","Request credential creation or rotation using published contracts and real services | Authorization, expiry and revocation handled by owning service | Loading, empty, error, forbidden and applicable offline/conflict states meet document08 | Typecheck and affected test/lint/build/security/token/accessibility gates pass with exact revision evidence","Not started"
"DEV-097","DP-097","87","EP-07","Record and field policy simulator","Developer + Security/SRE","P1","FND-12","Simulate record and field policy using published contracts and real services | Simulation and runtime use same server evaluator | Loading, empty, error, forbidden and applicable offline/conflict states meet document08 | Typecheck and affected test/lint/build/security/token/accessibility gates pass with exact revision evidence","Not started"
"DEV-098","DP-098","88","EP-07","Environment secret bindings","Developer + Security/SRE","P1","FND-12","Map and rotate environment secret references using published contracts and real services | No raw secret in UI/export/logs | Loading, empty, error, forbidden and applicable offline/conflict states meet document08 | Typecheck and affected test/lint/build/security/token/accessibility gates pass with exact revision evidence","Not started"
"DEV-099","DP-099","89","EP-07","Supply chain and security review","Developer + Security/SRE","P1","FND-12","Review SBOM, findings and signing evidence using published contracts and real services | Unresolved blocking findings or revoked signing key prevent release | Loading, empty, error, forbidden and applicable offline/conflict states meet document08 | Typecheck and affected test/lint/build/security/token/accessibility gates pass with exact revision evidence","Not started"
"DEV-100","DP-100","90","EP-07","Extension quarantine and revocation","Developer + Security/SRE","P1","FND-12","Review quarantine scope and revocation using published contracts and real services | Tenant operator cannot execute provider-wide containment | Loading, empty, error, forbidden and applicable offline/conflict states meet document08 | Typecheck and affected test/lint/build/security/token/accessibility gates pass with exact revision evidence","Not started"
"DEV-101","DP-101","91","EP-07","Audit trail and evidence export","Developer + Security/SRE","P1","FND-12","Inspect immutable audit and scoped export using published contracts and real services | No audit editing or unredacted unauthorized export | Loading, empty, error, forbidden and applicable offline/conflict states meet document08 | Typecheck and affected test/lint/build/security/token/accessibility gates pass with exact revision evidence","Not started"
"DEV-102","DP-102","92","EP-07","Restore rehearsal and recovery","Developer + Security/SRE","P1","FND-12","Rehearse restore to isolated environment using published contracts and real services | Snapshot must precede recovery point; no live overwrite | Loading, empty, error, forbidden and applicable offline/conflict states meet document08 | Typecheck and affected test/lint/build/security/token/accessibility gates pass with exact revision evidence","Not started"
"DEV-103","DP-103","97","EP-07","Application health and incidents","Developer + Security/SRE","P1","FND-12","Inspect SLI and incident diagnostics using published contracts and real services | Sample metrics cannot be reported as actual SLA compliance | Loading, empty, error, forbidden and applicable offline/conflict states meet document08 | Typecheck and affected test/lint/build/security/token/accessibility gates pass with exact revision evidence","Not started"
"DEV-104","DP-104","98","EP-07","Usage budgets and entitlement limits","Developer + Security/SRE","P1","FND-12","Configure scoped usage alerts using published contracts and real services | OCC entitlement limits cannot be elevated locally | Loading, empty, error, forbidden and applicable offline/conflict states meet document08 | Typecheck and affected test/lint/build/security/token/accessibility gates pass with exact revision evidence","Not started"
"DEV-105","DP-105","102","EP-07","Application identity and session policies","Developer + Security/SRE","P1","FND-12","Map approved identity claims to application roles using published contracts and real services | Client cannot edit tenant claim or widen inherited session policy | Loading, empty, error, forbidden and applicable offline/conflict states meet document08 | Typecheck and affected test/lint/build/security/token/accessibility gates pass with exact revision evidence","Not started"
"DEV-106","DP-106","101","EP-07","AI-assisted change review","Developer + Security/SRE","P1","FND-12","Review AI semantic changes before applying to draft using published contracts and real services | AI cannot self-authorize publish or production data access | Loading, empty, error, forbidden and applicable offline/conflict states meet document08 | Typecheck and affected test/lint/build/security/token/accessibility gates pass with exact revision evidence","Not started"
"DEV-107","DP-107","54","EP-07","Run logs and trace detail","Developer + Security/SRE","P1","FND-12","Inspect safe run logs and correlated traces using published contracts and real services | Sensitive payloads and foreign tenant traces redacted/denied | Loading, empty, error, forbidden and applicable offline/conflict states meet document08 | Typecheck and affected test/lint/build/security/token/accessibility gates pass with exact revision evidence","Not started"
"DEV-108","DP-108","58","EP-07","Marketplace packages and installation review","Developer + Security/SRE","P1","FND-12","Review Marketplace installation using published contracts and real services | Commercial lifecycle remains Marketplace-owned | Loading, empty, error, forbidden and applicable offline/conflict states meet document08 | Typecheck and affected test/lint/build/security/token/accessibility gates pass with exact revision evidence","Not started"
